episodio,capital,apuesta_promedio,entropia,timestamp
0,4427,232.0,0.00995,2025-07-16 13:37:01
1,5952,345.0,0.00995,2025-07-16 13:37:01
2,5660,303.0,0.00995,2025-07-16 13:37:01
3,7002,425.0,0.00995,2025-07-16 13:37:01
4,5448,692.0,0.00995,2025-07-16 13:37:01
5,12268,656.0,0.00995,2025-07-16 13:37:01
6,10019,1290.0,0.00995,2025-07-16 13:37:01
7,6856,408.0,0.00995,2025-07-16 13:37:01
8,4855,288.0,0.00995,2025-07-16 13:37:01
9,7335,412.0,0.00995,2025-07-16 13:37:01
10,5583,0.0,0.00995,2025-07-16 13:37:01
11,5969,355.0,0.00995,2025-07-16 13:37:01
12,2726,156.0,0.00995,2025-07-16 13:37:01
13,3865,228.0,0.00995,2025-07-16 13:37:01
14,14608,1056.0,0.00995,2025-07-16 13:37:01
15,4340,248.0,0.00995,2025-07-16 13:37:01
16,4878,270.0,0.00995,2025-07-16 13:37:01
17,4947,522.0,0.00995,2025-07-16 13:37:01
18,10175,538.0,0.00995,2025-07-16 13:37:01
19,4329,237.0,0.00995,2025-07-16 13:37:01
20,5344,0.0,0.00995,2025-07-16 13:37:01
21,5711,340.0,0.00995,2025-07-16 13:37:01
22,4604,276.0,0.00995,2025-07-16 13:37:01
23,6461,389.0,0.00995,2025-07-16 13:37:01
24,5017,252.0,0.00995,2025-07-16 13:37:01
25,4323,258.0,0.00995,2025-07-16 13:37:01
26,5703,308.0,0.00995,2025-07-16 13:37:01
27,10513,558.0,0.00995,2025-07-16 13:37:01
28,8463,0.0,0.00995,2025-07-16 13:37:01
29,7979,1006.0,0.00995,2025-07-16 13:37:01
30,5190,281.0,0.00995,2025-07-16 13:37:01
31,5115,305.0,0.00995,2025-07-16 13:37:01
32,6035,672.0,0.00995,2025-07-16 13:37:01
33,8428,447.0,0.00995,2025-07-16 13:37:01
34,3895,227.0,0.00995,2025-07-16 13:37:01
35,7545,0.0,0.00995,2025-07-16 13:37:01
36,3047,384.0,0.00995,2025-07-16 13:37:01
37,4108,203.0,0.00995,2025-07-16 13:37:01
38,7104,377.0,0.00995,2025-07-16 13:37:01
39,2893,160.0,0.00995,2025-07-16 13:37:01
40,9680,506.0,0.00995,2025-07-16 13:37:01
41,5676,329.0,0.00995,2025-07-16 13:37:01
42,4543,265.0,0.00995,2025-07-16 13:37:01
43,8642,475.0,0.00995,2025-07-16 13:37:01
44,12211,695.0,0.00995,2025-07-16 13:37:01
45,8101,425.0,0.00995,2025-07-16 13:37:01
46,6026,328.0,0.00995,2025-07-16 13:37:01
47,6947,398.0,0.00995,2025-07-16 13:37:01
48,7118,369.0,0.00995,2025-07-16 13:37:01
49,5469,322.0,0.00995,2025-07-16 13:37:01
