ronda,cartas_restantes,Markov_Normal_capital,Markov_Arriesgado_capital,Markov_Umbral_capital,Markov_PG_capital,Aleatorio1_capital,Aleatorio2_capital,Markov_Normal_apuesta,Markov_Arriesgado_apuesta,Markov_Umbral_apuesta,Markov_PG_apuesta,Aleatorio1_apuesta,Aleatorio2_apuesta,Markov_Normal_decision_ms,Markov_Arriesgado_decision_ms,Markov_Umbral_decision_ms,Markov_PG_decision_ms,Aleatorio1_decision_ms,Aleatorio2_decision_ms,Markov_Normal_resultado,Markov_Arriesgado_resultado,Markov_Umbral_resultado,Markov_PG_resultado,Aleatorio1_resultado,Aleatorio2_resultado
1,208,1000,1000,1000,1000,1000,1000,5,5,5,56,5,5,1033,595,22721,10843,5967,59085,activo,activo,activo,activo,activo,activo
2,102,980,985,982,932,972,985,5,5,5,51,5,5,10598,28066,360,33039,2,333,activo,activo,activo,activo,activo,activo
3,187,964,987,988,1059,969,997,5,5,5,60,5,5,180,145,459,3212,1859,120,activo,activo,activo,activo,activo,activo
4,79,969,974,1000,1241,956,983,5,5,5,72,5,5,472,345,11,49,2135,853,activo,activo,activo,activo,activo,activo
5,159,961,966,985,1098,943,950,5,5,5,64,5,5,146,53,908,122,49,798,activo,activo,activo,activo,activo,activo
6,64,933,953,965,920,927,919,5,5,5,53,5,5,228,1,89,491,1042,837,activo,activo,activo,activo,activo,activo
7,143,949,960,970,969,933,936,5,5,5,55,5,5,2708,425,39,202,436,49,activo,activo,activo,activo,activo,activo
8,50,955,955,966,905,920,928,5,5,5,52,5,5,162,3,1703,2159,109,4325,activo,activo,activo,activo,activo,activo
9,139,957,977,971,926,922,938,5,5,5,52,5,5,59,170,506,8467,467,723,activo,activo,activo,activo,activo,activo
10,38,954,977,970,917,921,928,5,5,5,53,5,5,2,3041,1156,58,115,515,activo,activo,activo,activo,activo,activo
11,125,951,977,964,880,908,913,5,5,5,50,5,5,7826,41,419,277,407,152,activo,activo,activo,activo,activo,activo
12,25,955,979,964,800,895,893,5,5,5,46,5,5,2,232,95,2279,661,13317,activo,activo,activo,activo,activo,activo
13,121,945,964,949,652,874,877,5,5,5,36,5,5,930,443,718,100,746,1,activo,activo,activo,activo,activo,activo
14,208,942,964,961,611,869,864,5,5,5,34,5,5,46,315,365,2057,280,4787,activo,activo,activo,activo,activo,activo
15,83,954,976,947,679,856,859,5,5,5,37,5,5,537,341,5305,1,124,3424,activo,activo,activo,activo,activo,activo
16,174,949,975,946,587,843,841,5,5,5,32,5,5,6037,477,48,57,578,4785,activo,activo,activo,activo,activo,activo
17,74,959,975,955,536,840,833,5,5,5,29,5,5,770,144,2,223,119,373,activo,activo,activo,activo,activo,activo
18,154,969,982,960,609,850,818,5,5,5,33,5,5,1101,2069,169,1688,188,6023,activo,activo,activo,activo,activo,activo
19,52,974,1009,975,735,854,797,5,5,5,42,5,5,423,2,66,837,64,5361,activo,activo,activo,activo,activo,activo
20,141,971,989,945,553,828,771,5,5,5,30,5,5,780,492,104,42,357,695,activo,activo,activo,activo,activo,activo
21,44,973,986,935,577,795,771,5,5,5,31,5,5,1476,2,622,184,114,305,activo,activo,activo,activo,activo,activo
22,143,958,961,905,557,774,738,5,5,5,29,5,5,9472,102,57,2104,63,260,activo,activo,activo,activo,activo,activo
23,35,967,966,905,599,764,750,5,5,5,31,5,5,2,5122,72,390,88,218,activo,activo,activo,activo,activo,activo
24,127,967,951,890,577,751,720,5,5,5,30,5,5,811,49,41,1487,149,1,activo,activo,activo,activo,activo,activo
25,208,962,938,875,488,728,692,5,5,5,26,5,5,848,271,747,55,324,776,activo,activo,activo,activo,activo,activo
26,100,962,940,907,510,730,671,5,5,5,27,5,5,131,51,1268,1095,2,54,activo,activo,activo,activo,activo,activo
27,193,969,917,882,390,715,650,5,5,5,20,5,5,295,47,45,113,275,375,activo,activo,activo,activo,activo,activo
28,94,941,902,862,316,672,627,5,5,5,16,5,5,1295,2100,86,61,1,2064,activo,activo,activo,activo,activo,activo
