n_trees,mse_train,mse_val
10,110826.37998263648,101637.43320437268
20,110869.92846722875,101479.99496538876
30,110611.17725401309,101345.03004578318
40,110741.81241230608,101302.28258514951
50,110767.5063426236,101062.46070592715
60,110652.35157530585,100998.9006762303
70,110718.62835812035,100961.06500406482
80,110679.91921400216,100984.19675196278
90,110655.721377112,100970.33417956991
100,110575.42470093066,101003.46593611104
110,110531.08422428294,101045.18167137408
120,110541.44767022126,101112.2091770001
130,110504.63249510979,101067.42145814696
140,110509.7969036194,101075.57272514807
150,110533.03619105065,101034.32811970833
160,110476.27099495362,101088.99188724607
170,110487.9868915105,101103.99972084447
180,110452.72130747674,101116.5467825921
190,110417.5221119738,101150.86610393
200,110414.34162098501,101128.70194814053
