n_trees,mse_train,mse_val
10,0.9363690790474429,0.9576412642204805
20,0.9346982835271528,0.9544446833405671
30,0.9344518871410747,0.954020773675268
40,0.9341259099058371,0.9538147958584761
50,0.9340944994365102,0.9534023317019992
60,0.9337614096825064,0.9534558959168911
70,0.9337188769811459,0.9534597597982928
80,0.9337951783728046,0.953753995475815
90,0.9336789250269172,0.9537855107741031
100,0.9336315643795541,0.9537263175548634
110,0.9333784205017687,0.9536480021879241
120,0.9333019544102842,0.9537267817485309
130,0.9331625649100546,0.953749331078852
140,0.9330331065420047,0.9537712455328353
150,0.9330008972588593,0.953772874580996
160,0.9328696329113644,0.9537950512137499
170,0.9327486639005277,0.9537292199924714
180,0.9328120720190403,0.9536674430255259
190,0.9328465058702095,0.953723781083887
200,0.9328234019352202,0.953552109033603
