mano_valor,mano_es_blanda,mano_apuesta,mano_num_cartas,mano_es_par_divisible,agente_nombre,agente_capital_inicial,dealer_valor_carta,accion_tomada,ganancia_neta,conteo_cartas,recompensa_normalizada
16,False,32,2,False,AgenteAleatorio1,100000,8,DIVIDIR,-32,None,-1.0
15,False,155,2,False,AgenteAleatorio1,99968,2,DIVIDIR,155,None,1.0
11,False,548,2,False,AgenteAleatorio1,100123,2,PLANTARSE,548,None,1.0
18,False,1003,2,False,AgenteAleatorio1,100671,2,DIVIDIR,-1003,None,-1.0
11,False,789,2,False,AgenteAleatorio1,99668,4,PLANTARSE,789,None,1.0
7,False,373,2,False,AgenteAleatorio1,100457,10,PLANTARSE,373,None,1.0
20,False,421,2,True,AgenteAleatorio1,100830,5,DOBLAR,-842,None,-2.0
12,False,632,2,False,AgenteAleatorio1,99988,7,PEDIR,632,None,1.0
21,False,632,3,False,AgenteAleatorio1,99988,7,RENDIRSE,632,None,1.0
11,False,774,2,False,AgenteAleatorio1,99988,10,PLANTARSE,-774,None,-1.0
12,False,855,2,False,AgenteAleatorio1,99214,7,RENDIRSE,-427,None,-0.4994152046783626
11,False,549,2,False,AgenteAleatorio1,98786,10,PLANTARSE,-549,None,-1.0
20,False,677,2,True,AgenteAleatorio1,98237,8,RENDIRSE,-338,None,-0.49926144756277696
17,False,124,2,False,AgenteAleatorio1,97898,4,PEDIR,-124,None,-1.0
13,False,871,2,False,AgenteAleatorio1,97774,5,PLANTARSE,-871,None,-1.0
16,False,616,2,False,AgenteAleatorio1,96903,10,PLANTARSE,-616,None,-1.0
18,True,850,2,False,AgenteAleatorio1,96287,3,DOBLAR,1700,None,2.0
18,True,794,2,False,AgenteAleatorio1,97987,5,RENDIRSE,-397,None,-0.5
5,False,576,2,False,AgenteAleatorio1,97590,9,DOBLAR,-1152,None,-2.0
7,False,52,2,False,AgenteAleatorio1,96438,10,RENDIRSE,-26,None,-0.5
9,False,218,2,False,AgenteAleatorio1,96412,10,DIVIDIR,-218,None,-1.0
11,False,339,2,False,AgenteAleatorio1,96194,10,RENDIRSE,-169,None,-0.49852507374631266
8,False,560,2,False,AgenteAleatorio1,96024,10,DIVIDIR,-560,None,-1.0
13,False,593,2,False,AgenteAleatorio1,95464,10,DOBLAR,-1186,None,-2.0
20,False,524,2,True,AgenteAleatorio1,94278,2,RENDIRSE,-262,None,-0.5
14,False,411,2,False,AgenteAleatorio1,94016,8,DOBLAR,-822,None,-2.0
13,False,789,2,False,AgenteAleatorio1,93194,10,PEDIR,-789,None,-1.0
15,False,789,3,False,AgenteAleatorio1,93194,10,PLANTARSE,-789,None,-1.0
8,False,321,2,False,AgenteAleatorio1,92405,6,RENDIRSE,-160,None,-0.4984423676012461
21,True,464,2,False,AgenteAleatorio1,92244,9,PLANTARSE,40,None,0.08620689655172414
18,False,40,2,False,AgenteAleatorio1,92244,10,DIVIDIR,40,None,1.0
20,True,609,2,False,AgenteAleatorio1,92244,7,RENDIRSE,-304,None,-0.49917898193760263
9,False,442,2,False,AgenteAleatorio1,91939,10,RENDIRSE,-221,None,-0.5
15,False,282,2,False,AgenteAleatorio1,91718,9,PEDIR,-282,None,-1.0
15,True,186,2,False,AgenteAleatorio1,91436,6,RENDIRSE,-93,None,-0.5
