round,cards_remaining,markov_normal.decision_time_ms,markov_normal.decisions,markov_normal.result,markov_normal.capital_change,markov_arriesgado.decision_time_ms,markov_arriesgado.decisions,markov_arriesgado.result,markov_arriesgado.capital_change,markov_umbral.decision_time_ms,markov_umbral.decisions,markov_umbral.result,markov_umbral.capital_change,markov_hibrido.decision_time_ms,markov_hibrido.decisions,markov_hibrido.result,markov_hibrido.capital_change,hilo.decision_time_ms,hilo.decisions,hilo.result,hilo.capital_change,aleatorio1.decision_time_ms,aleatorio1.decisions,aleatorio1.result,aleatorio1.capital_change,aleatorio2.decision_time_ms,aleatorio2.decisions,aleatorio2.result,aleatorio2.capital_change,randomforest.decision_time_ms,randomforest.decisions,randomforest.result,randomforest.capital_change,markov_politica.decision_time_ms,markov_politica.decisions,markov_politica.result,markov_politica.capital_change
1,208,315,2,-1,-5,315,1,-1,-10,2,1,-1,-5,5,2,0,0,0,2,0,0,0,1,-1,-3,0,2,-1,-8,38,1,0,0,0,1,1,8104528
2,180,14,2,-1,-5,11,1,-1,-3,9,2,-1,-5,0,1,-1,-5,0,3,-1,-15,0,1,-1,-3,0,1,-1,-5,111,3,0,0,2,1,0,0
3,153,5,1,-1,-5,2,1,-1,-5,2,1,-1,-5,4,1,-1,-10,0,1,-1,-5,0,1,-1,-5,0,1,-1,-10,37,1,-1,-5,21,3,-1,-6164471
4,125,111,1,1,5,189,1,1,10,2,1,1,5,1,1,1,5,0,1,1,7,0,1,1,10,0,1,-1,-10,37,1,1,5,326,2,1,5722444
5,99,971,2,-1,-5,312,1,-1,-5,13,6,-1,-5,2,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-10,38,1,-1,-5,1062,2,-1,-6007429
6,69,30,1,-1,-5,14,1,-1,-3,1,1,-1,-5,4,1,0,0,0,3,-1,-5,0,2,-1,-8,0,1,-1,-3,35,1,0,0,23,1,-1,-5713032
7,42,49,3,-1,-10,70,3,0,0,2,1,-1,-5,0,1,1,7,0,1,-1,-5,0,1,-1,-3,0,2,0,0,73,2,-1,-5,57,2,0,0
8,177,2,1,0,0,5,1,-1,-5,8,2,-1,-5,7,3,-1,-10,0,2,-1,-5,0,1,-1,-5,0,1,-1,-5,37,1,-1,-5,13,1,-1,-5161017
9,151,112,1,-1,-10,42,1,-1,-5,13,1,-1,-10,5,1,0,0,0,1,-1,-5,0,1,-1,-10,0,1,-1,-5,78,2,-1,-5,84,1,-1,-4964768
10,126,74,2,0,0,24,1,-1,-5,1,2,0,0,7,2,-1,-5,0,1,0,0,0,1,-1,-3,0,1,-1,-3,109,3,-1,-5,15,1,-1,-4516123
11,100,10,1,-1,-5,4,1,-1,-5,1,2,0,0,2,2,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-5,66,2,-1,-5,21,3,-1,-4369238
12,72,26,1,-1,-5,64,2,-1,-5,3,2,-1,-5,8,3,0,0,0,1,0,0,0,1,-1,-5,0,1,-1,-3,63,2,-1,-5,7,1,0,0
13,43,25,2,-1,-5,39,1,-1,-3,2,1,-1,-5,1,1,-1,-5,0,3,-1,-5,0,1,-1,-3,0,1,-1,-5,36,1,1,7,39,2,-1,-4042440
14,180,16,1,-1,-5,32,2,-1,-5,0,1,0,0,11,3,0,0,0,1,-1,-5,0,1,-1,-5,0,1,-1,-3,41,1,0,0,12,1,-1,-3719660
15,154,28,1,0,0,8,1,-1,-3,15,4,0,0,27,3,0,0,0,2,-1,-5,0,1,-1,-3,0,2,-1,-5,38,1,-1,-5,15,2,-1,-3581126
16,123,8,2,-1,-5,34,2,0,0,1,2,0,0,2,1,-1,-5,0,1,-1,-5,0,1,-1,-3,0,1,-1,-10,42,1,-1,-5,1,1,-1,-3246327
17,98,249,2,0,0,340,3,1,7,5,1,0,0,1,1,0,0,0,1,-1,-5,0,2,0,0,0,1,-1,-5,35,1,0,0,266,2,0,0
18,71,51,1,-1,-5,49,1,-1,-5,2,1,-1,-5,2,1,-1,-5,0,1,0,0,0,1,-1,-5,0,1,-1,-5,35,1,0,0,47,1,0,0
19,50,44,1,1,5,41,1,1,5,3,7,1,24,0,1,1,5,0,1,1,10,0,1,1,5,0,1,-1,-3,37,1,1,10,18,2,1,3088461
20,19,248,1,-1,-3,334,2,-1,-5,7,2,-1,-5,7,2,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,38,1,-1,-3,271,1,-1,-1588987
21,184,893,1,1,5,900,1,1,5,4,1,1,5,8,3,1,5,0,1,1,5,0,1,1,5,0,1,1,5,34,1,1,5,939,3,1,3165761
22,159,8,1,1,5,10,1,-1,-3,1,1,-1,-5,4,1,1,10,0,1,1,7,0,1,1,5,0,1,-1,-3,36,1,-1,-3,23,2,1,3476039
23,135,60,1,-1,-5,122,1,-1,-5,9,1,-1,-10,3,1,-1,-5,0,1,-1,-5,0,1,-1,-5,0,2,-1,-5,38,1,-1,-5,194,1,-1,-7207764
24,110,14,2,0,0,7,1,-1,-10,9,3,0,0,0,1,1,7,0,1,-1,-15,0,1,-1,-5,0,1,-1,-10,75,2,0,0,5,1,0,0
25,82,327,1,0,0,0,1,0,0,2,1,-1,-5,12,2,-1,-5,0,1,-1,-5,0,1,-1,-5,0,1,-1,-5,38,1,-1,-5,236,1,-1,-3151224
