ronda_num,agente_nombre,capital_inicial_ronda,capital_final_ronda,ganancia_neta_ronda,apuesta_total_ronda,resultado_ronda,cartas_restantes_mazo
1,AgenteBasico,90000000,89999995,-5,5,-1,208
2,AgenteBasico,89999995,90000002,7,5,1,202
3,AgenteBasico,90000002,89999997,-5,5,-1,197
4,AgenteBasico,89999997,89999992,-5,5,-1,192
5,AgenteBasico,89999992,89999987,-5,5,-1,187
6,AgenteBasico,89999987,89999982,-5,5,-1,182
7,AgenteBasico,89999982,89999977,-5,5,-1,176
8,AgenteBasico,89999977,89999977,0,5,0,168
9,AgenteBasico,89999977,89999977,0,5,0,164
10,AgenteBasico,89999977,89999982,5,5,1,159
11,AgenteBasico,89999982,89999979,-3,0,-1,153
12,AgenteBasico,89999979,89999974,-5,5,-1,148
13,AgenteBasico,89999974,89999969,-5,5,-1,142
14,AgenteBasico,89999969,89999966,-3,0,-1,136
15,AgenteBasico,89999966,89999966,0,5,0,131
16,AgenteBasico,89999966,89999966,0,5,0,127
17,AgenteBasico,89999966,89999973,7,5,1,123
18,AgenteBasico,89999973,89999968,-5,5,-1,119
19,AgenteBasico,89999968,89999963,-5,5,-1,112
20,AgenteBasico,89999963,89999973,10,10,1,106
21,AgenteBasico,89999973,89999968,-5,5,-1,100
22,AgenteBasico,89999968,89999968,0,10,0,95
23,AgenteBasico,89999968,89999963,-5,5,-1,87
24,AgenteBasico,89999963,89999958,-5,5,-1,81
25,AgenteBasico,89999958,89999958,0,5,0,71
26,AgenteBasico,89999958,89999953,-5,5,-1,66
27,AgenteBasico,89999953,89999953,0,5,0,60
28,AgenteBasico,89999953,89999948,-5,5,-1,55
29,AgenteBasico,89999948,89999943,-5,5,-1,49
30,AgenteBasico,89999943,89999938,-5,5,-1,204
31,AgenteBasico,89999938,89999938,0,5,0,199
32,AgenteBasico,89999938,89999933,-5,5,-1,189
33,AgenteBasico,89999933,89999928,-5,5,-1,184
34,AgenteBasico,89999928,89999923,-5,5,-1,178
35,AgenteBasico,89999923,89999928,5,5,1,173
36,AgenteBasico,89999928,89999933,5,5,1,166
37,AgenteBasico,89999933,89999928,-5,5,-1,159
38,AgenteBasico,89999928,89999923,-5,5,-1,152
39,AgenteBasico,89999923,89999923,0,5,0,148
40,AgenteBasico,89999923,89999918,-5,5,-1,141
41,AgenteBasico,89999918,89999913,-5,5,-1,137
42,AgenteBasico,89999913,89999908,-5,5,-1,132
43,AgenteBasico,89999908,89999905,-3,0,-1,127
44,AgenteBasico,89999905,89999902,-3,0,-1,123
45,AgenteBasico,89999902,89999902,0,10,0,119
46,AgenteBasico,89999902,89999897,-5,5,-1,114
47,AgenteBasico,89999897,89999897,0,5,0,109
48,AgenteBasico,89999897,89999897,0,5,0,105
49,AgenteBasico,89999897,89999902,5,5,1,99
50,AgenteBasico,89999902,89999897,-5,5,-1,93
51,AgenteBasico,89999897,89999897,0,5,0,88
52,AgenteBasico,89999897,89999892,-5,5,-1,82
53,AgenteBasico,89999892,89999892,0,5,0,74
54,AgenteBasico,89999892,89999887,-5,5,-1,69
55,AgenteBasico,89999887,89999884,-3,0,-1,64
56,AgenteBasico,89999884,89999889,5,5,1,60
57,AgenteBasico,89999889,89999889,0,5,0,54
58,AgenteBasico,89999889,89999889,0,10,0,50
59,AgenteBasico,89999889,89999884,-5,5,-1,44
60,AgenteBasico,89999884,89999884,0,5,0,202
61,AgenteBasico,89999884,89999889,5,5,1,197
62,AgenteBasico,89999889,89999884,-5,5,-1,191
63,AgenteBasico,89999884,89999891,7,5,1,186
64,AgenteBasico,89999891,89999896,5,5,1,181
65,AgenteBasico,89999896,89999891,-5,5,-1,176
66,AgenteBasico,89999891,89999896,5,5,1,172
67,AgenteBasico,89999896,89999896,0,5,0,166
68,AgenteBasico,89999896,89999896,0,5,0,162
69,AgenteBasico,89999896,89999901,5,5,1,157
70,AgenteBasico,89999901,89999911,10,10,1,152
71,AgenteBasico,89999911,89999906,-5,5,-1,145
72,AgenteBasico,89999906,89999911,5,5,1,140
73,AgenteBasico,89999911,89999906,-5,5,-1,135
74,AgenteBasico,89999906,89999896,-10,10,-1,129
75,AgenteBasico,89999896,89999891,-5,5,-1,122
76,AgenteBasico,89999891,89999891,0,5,0,116
77,AgenteBasico,89999891,89999886,-5,5,-1,111
78,AgenteBasico,89999886,89999886,0,5,0,105
79,AgenteBasico,89999886,89999881,-5,5,-1,99
80,AgenteBasico,89999881,89999881,0,5,0,95
81,AgenteBasico,89999881,89999886,5,5,1,91
82,AgenteBasico,89999886,89999893,7,5,1,84
83,AgenteBasico,89999893,89999898,5,5,1,80
84,AgenteBasico,89999898,89999895,-3,0,-1,74
85,AgenteBasico,89999895,89999890,-5,5,-1,69
86,AgenteBasico,89999890,89999885,-5,5,-1,62
87,AgenteBasico,89999885,89999880,-5,5,-1,56
88,AgenteBasico,89999880,89999880,0,5,0,49
89,AgenteBasico,89999880,89999880,0,5,0,45
90,AgenteBasico,89999880,89999880,0,10,0,41
91,AgenteBasico,89999880,89999880,0,5,0,36
92,AgenteBasico,89999880,89999880,0,5,0,204
93,AgenteBasico,89999880,89999887,7,5,1,199
94,AgenteBasico,89999887,89999877,-10,10,-1,193
95,AgenteBasico,89999877,89999872,-5,5,-1,187
96,AgenteBasico,89999872,89999867,-5,5,-1,183
97,AgenteBasico,89999867,89999872,5,5,1,177
98,AgenteBasico,89999872,89999877,5,5,1,172
99,AgenteBasico,89999877,89999877,0,5,0,167
100,AgenteBasico,89999877,89999877,0,5,0,163
101,AgenteBasico,89999877,89999877,0,5,0,158
102,AgenteBasico,89999877,89999874,-3,0,-1,154
103,AgenteBasico,89999874,89999874,0,5,0,149
104,AgenteBasico,89999874,89999879,5,5,1,145
105,AgenteBasico,89999879,89999874,-5,5,-1,139
106,AgenteBasico,89999874,89999879,5,5,1,132
107,AgenteBasico,89999879,89999876,-3,0,-1,127
108,AgenteBasico,89999876,89999871,-5,5,-1,123
109,AgenteBasico,89999871,89999871,0,10,0,117
110,AgenteBasico,89999871,89999881,10,10,1,111
111,AgenteBasico,89999881,89999891,10,10,1,104
112,AgenteBasico,89999891,89999886,-5,5,-1,97
113,AgenteBasico,89999886,89999891,5,5,1,92
114,AgenteBasico,89999891,89999886,-5,5,-1,87
115,AgenteBasico,89999886,89999891,5,5,1,81
116,AgenteBasico,89999891,89999901,10,10,1,76
117,AgenteBasico,89999901,89999901,0,5,0,67
118,AgenteBasico,89999901,89999896,-5,5,-1,61
119,AgenteBasico,89999896,89999906,10,10,1,55
120,AgenteBasico,89999906,89999906,0,5,0,49
121,AgenteBasico,89999906,89999901,-5,5,-1,43
122,AgenteBasico,89999901,89999896,-5,5,-1,203
123,AgenteBasico,89999896,89999903,7,5,1,197
124,AgenteBasico,89999903,89999898,-5,5,-1,193
125,AgenteBasico,89999898,89999898,0,10,0,187
126,AgenteBasico,89999898,89999898,0,5,0,181
127,AgenteBasico,89999898,89999898,0,5,0,177
128,AgenteBasico,89999898,89999905,7,5,1,172
129,AgenteBasico,89999905,89999910,5,5,1,166
130,AgenteBasico,89999910,89999915,5,5,1,160
131,AgenteBasico,89999915,89999910,-5,5,-1,154
132,AgenteBasico,89999910,89999915,5,5,1,149
133,AgenteBasico,89999915,89999915,0,10,0,144
134,AgenteBasico,89999915,89999925,10,10,1,138
135,AgenteBasico,89999925,89999925,0,5,0,131
136,AgenteBasico,89999925,89999930,5,5,1,126
137,AgenteBasico,89999930,89999930,0,10,0,121
138,AgenteBasico,89999930,89999930,0,5,0,115
139,AgenteBasico,89999930,89999925,-5,5,-1,110
140,AgenteBasico,89999925,89999920,-5,5,-1,103
141,AgenteBasico,89999920,89999915,-5,5,-1,98
142,AgenteBasico,89999915,89999905,-10,10,-1,93
143,AgenteBasico,89999905,89999900,-5,5,-1,88
144,AgenteBasico,89999900,89999910,10,10,1,82
145,AgenteBasico,89999910,89999910,0,5,0,75
146,AgenteBasico,89999910,89999920,10,10,1,71
147,AgenteBasico,89999920,89999915,-5,5,-1,64
148,AgenteBasico,89999915,89999905,-10,10,-1,60
149,AgenteBasico,89999905,89999900,-5,5,-1,55
